hs_code,description,mfn_rate
0207119000,"Plukkede, rensede, uden hoved og fødder og uden hals, hjerte, lever og kråse (såkaldte 65|pct.-høns), eller i anden form",0.325
0207121000,"Plukkede, rensede, uden hoved og fødder, men med hals, hjerte, lever og kråse (såkaldte 70|pct.-høns)",0.299
0207129000,"Plukkede, rensede, uden hoved og fødder og uden hals, hjerte, lever og kråse (såkaldte 65|pct.-høns), eller i anden form",0.325
0207131000,Udbenet,1.024
0207132000,Halve og kvarte,0.358
0207133000,"Hele vinger, også uden vingespids",0.269
0207134000,"Rygge, halse, rygge med hals, gumpe og vingespidser",0.187
0207135000,Bryst og stykker deraf,0.602
0207136000,Lår og stykker deraf,0.463
0207137000,Andre varer,1.008
0207139100,Lever,0.064
0207139900,Andre varer,0.187
0207141000,Udbenet,1.024
0207142000,Halve eller kvarte,0.358
0207143000,"Hele vinger, også uden vingespids",0.269
0207144000,"Rygge, halse, rygge med hals, gumpe og vingespidser",0.187
0207145000,Bryst og stykker deraf,0.602
0207146000,Lår og stykker deraf,0.463
0207147000,Andre varer,1.008
0207149100,Lever,0.064
0207149900,Andre varer,0.187
0207241000,"Plukkede, rensede, uden hoved og fødder, men med hals, hjerte, lever og kråse (såkaldte 80|pct.-kalkuner)",0.34
0207249000,"Plukkede, rensede, uden hoved og fødder og uden hals, hjerte, lever og kråse (såkaldte 73|pct.-kalkuner), eller i anden form",0.373
0207251000,"Plukkede, rensede, uden hoved og fødder, men med hals, hjerte, lever og kråse (såkaldte 80|pct.-kalkuner)",0.34
0207259000,"Plukkede, rensede, uden hoved og fødder og uden hals, hjerte, lever og kråse (såkaldte 73|pct.-kalkuner), eller i anden form",0.373
0207261000,Udbenet,0.851
0207262000,Halve eller kvarte,0.41
0207263000,"Hele vinger, også uden vingespids",0.269
0207264000,"Rygge, halse, rygge med hals, gumpe og vingespidser",0.187
0207265000,Bryst og stykker deraf,0.679
0207266000,Underlår og stykker deraf,0.255
0207267000,Andre varer,0.46
0207268000,Andre varer,0.83
0207269100,Lever,0.064
0207269900,Andre varer,0.187
0207271000,Udbenet,0.851
0207272000,Halve eller kvarte,0.41
0207273000,"Hele vinger, også uden vingespids",0.269
0207274000,"Rygge, halse, rygge med hals, gumpe og vingespidser",0.187
0207275000,Bryst og stykker deraf,0.679
0207276000,Underlår og stykker deraf,0.255
0207277000,Andre varer,0.46
0207278000,Andre varer,0.83
0207279100,Lever,0.064
0207279900,Andre varer,0.187
0207412000,"Plukkede, afblødte, ikke åbnede eller uden tarme, med hoved og fødder (såkaldte 85|pct.-ænder)",0.38
0207413000,"Plukkede, rensede, uden hoved og fødder, med hals, hjerte, lever og kråse (såkaldte 70|pct.-ænder)",0.462
0207418000,"Plukkede, rensede, uden hoved og fødder og uden hals, hjerte, lever og kråse (såkaldte 63|pct.-ænder), eller i anden form",0.513
0207423000,"Plukkede, rensede, uden hoved og fødder, med hals, hjerte, lever og kråse (såkaldte 70|pct.-ænder)",0.462
0207428000,"Plukkede, rensede, uden hoved og fødder og uden hals, hjerte, lever og kråse (såkaldte 63|pct.-ænder), eller i anden form",0.513
0207430000,"Fed lever (""foies gras""), fersk eller kølet",0.0
0207441000,Udbenet,1.283
0207442100,Halve eller kvarte,0.564
0207443100,"Hele vinger, også uden vingespids",0.269
0207444100,"Rygge, halse, rygge med hals, gumpe og vingespidser",0.187
0207445100,Bryst og stykker deraf,1.155
0207446100,Lår og stykker deraf,0.463
0207447100,Andepaletots,0.66
0207448100,Andre varer,1.232
0207449100,"Lever, undtagen fed lever (""foies gras"")",0.064
0207449900,Andre varer,0.187
0207451000,Udbenet,1.283
0207452100,Halve eller kvarte,0.564
0207453100,"Hele vinger, også uden vingespids",0.269
0207454100,"Rygge, halse, rygge med hals, gumpe og vingespidser",0.187
0207455100,Bryst og stykker deraf,1.155
0207456100,Lår og stykker deraf,0.463
0207457100,Andepaletots,0.66
0207458100,Andre varer,1.232
0207459300,"Fed lever (""foies gras"")",0.0
0207459500,Andre varer,0.064
0207459900,Andre varer,0.187
0207511000,"Plukkede, afblødte, ikke åbnede, med hoved og fødder (såkaldte 82|pct.-gæs)",0.451
0207519000,"Plukkede, rensede, uden hoved og fødder, med eller uden hjerte og kråse (såkaldte 75|pct.-gæs), eller i anden form",0.481
0207521000,"Plukkede, afblødte, ikke åbnede, med hoved og fødder (såkaldte 82|pct.-gæs)",0.451
0207529000,"Plukkede, rensede, uden hoved og fødder, med eller uden hjerte og kråse (såkaldte 75|pct.-gæs), eller i anden form",0.481
0207530000,"Fed lever (""foies gras""), fersk eller kølet",0.0
0207541000,Udbenet,1.105
0207542100,Halve eller kvarte,0.529
0207543100,"Hele vinger, også uden vingespids",0.269
0207544100,"Rygge, halse, rygge med hals, gumpe og vingespidser",0.187
0207545100,Bryst og stykker deraf,0.865
0207546100,Lår og stykker deraf,0.697
0207547100,Gåsepaletots,0.66
0207548100,Andre varer,1.232
0207549100,"Lever, undtagen fed lever (""foies gras"")",0.064
0207549900,Andre varer,0.187
0207551000,Udbenet,1.105
0207552100,Halve eller kvarte,0.529
0207553100,"Hele vinger, også uden vingespids",0.269
0207554100,"Rygge, halse, rygge med hals, gumpe og vingespidser",0.187
0207555100,Bryst og stykker deraf,0.865
0207556100,Lår og stykker deraf,0.697
0207557100,Gåsepaletots,0.66
0207558100,Andre varer,1.232
0207559300,"Fed lever (""foies gras"")",0.0
0207559500,Andre varer,0.064
0207559900,Andre varer,0.187
0207600510,fersk eller kølet,0.493
0207600590,frosset,0.493
0207601000,Udbenet,1.283
0207602110,Fersk eller kølet,0.542
0207602190,Andre varer,0.542
0207603100,"Hele vinger, også uden vingespids",0.269
0207604100,"Rygge, halse, rygge med hals, gumpe og vingespidser",0.187
0207605100,Bryst og stykker deraf,1.155
0207606100,Lår og stykker deraf,0.463
0207608100,Andre varer,1.232
0207609110,Fersk eller kølet,0.064
0207609190,Andre varer,0.064
0207609900,Andre varer,0.187
0208101000,Af tamkaniner,0.064
0208109000,I andre tilfælde,0.0
0208300000,Af primater,0.09
0208401000,Kød af hvaler,0.064
0208402000,Kød af sæler,0.064
0208408000,I andre tilfælde,0.09
0208500000,Af krybdyr (herunder slanger og skildpadder),0.09
0208600000,Af kameler og andre dyr af kamelfamilien (Camelidae),0.09
0208901000,Af tamduer,0.064
0208903000,"Af vildt, undtagen kaniner og harer",0.0
0208906000,Af rensdyr,0.09
0208907000,Frølår,0.064
0208909800,I andre tilfælde,0.09
0209101100,"Fersk, kølet, frosset, saltet eller i saltlage(Svinekød)",0.214
0209101900,Tørret eller røget(Svinekød),0.236
0209109000,Andet fedt af svin(Svinekød),0.129
0209900000,Andre varer(Fjerkrækød),0.415
0210111100,Skinke og stykker deraf(Svinekød),0.778
0210111900,Bov og stykker deraf(Svinekød),0.601
0210113100,Skinke og stykker deraf(Svinekød),1.512
0210113900,Bov og stykker deraf(Svinekød),1.19
0210119000,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.154
0210121100,Saltet eller i saltlage(Svinekød),0.467
0210121900,Tørret eller røget(Svinekød),0.778
0210129000,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.154
0210191000,Baconsider eller spencers(Svinekød),0.687
0210192000,$3/@4|sider eller midterstykker(Svinekød),0.751
0210193000,Forende og stykker deraf(Svinekød),0.601
0210194000,Kam og stykker deraf(Svinekød),0.869
0210195010,"Skinke, i lage, udbenet, i blære eller kunsttarm",0.869
0210195090,Andre varer,0.869
0210196000,Forende og stykker deraf(Svinekød),1.19
0210197000,Kam og stykker deraf(Svinekød),1.496
0210198110,"kotelet, røget",1.512
0210198120,"Flæskenakke, og lufttørret, krydrede eller ukrydrede, hel, i stykker eller i tynde skiver",1.512
0210198190,Andre varer,1.512
0210198900,I andre tilfælde(Svinekød),1.512
0210199000,"Af andre svin(Visse varer, der er anført i bilag I til traktaten)",0.154
0210201010,af bisonokse,0.154
0210201090,Andre varer,0.154
0210209011,af bisonokse,0.154
0210209015,Andre varer,0.154
0210209091,af bisonokse,0.154
0210209099,Andre varer,0.154
0210910000,"Af primater(Visse varer, der er anført i bilag I til traktaten)",0.154
0210921000,"Af hvaler, delfiner og marsvin (pattedyr af ordenen Cetacea); manater og dygonger (pattedyr af ordenen Sirenia)(Visse varer, der er anført i bilag I til traktaten)",0.154
0210929100,"Kød(Visse varer, der er anført i bilag I til traktaten)",1.3
0210929200,"Slagtebiprodukter(Visse varer, der er anført i bilag I til traktaten)",0.154
0210929900,"Spiseligt mel og pulver af kød eller slagtebiprodukter(Visse varer, der er anført i bilag I til traktaten)",0.154
0210930000,"Af krybdyr (herunder slanger og skildpadder)(Visse varer, der er anført i bilag I til traktaten)",0.154
0210991000,"Hestekød, saltet, i saltlage eller tørret(Visse varer, der er anført i bilag I til traktaten)",0.064
0210992110,Frosne,2.227
0210992190,Andre varer,2.227
0210992910,Frosne,3.118
0210992990,Andre varer,3.118
0210993100,"Af rensdyr(Visse varer, der er anført i bilag I til traktaten)",0.154
